0.000 0.000 0.000
0.000 0.000 0.000
0.000 0.000 0.000
0.000 0.000 0.000
0.000 0.000 0.000
0.006 0.000 0.002
0.020 0.000 0.005
0.047 0.000 0.014
0.084 0.001 0.024
0.143 0.002 0.033
0.183 0.004 0.039
0.243 0.006 0.049
0.283 0.008 0.055
0.343 0.012 0.069
0.383 0.015 0.079
0.442 0.020 0.093
0.482 0.024 0.102
0.542 0.030 0.116
0.582 0.035 0.126
0.641 0.042 0.130
0.683 0.048 0.119
0.745 0.055 0.101
0.787 0.059 0.088
0.850 0.064 0.069
0.892 0.067 0.058
0.955 0.070 0.039
0.997 0.072 0.014
1.060 0.072 -0.024
1.102 0.070 -0.047
1.165 0.067 -0.080
1.206 0.063 -0.102
1.269 0.056 -0.130
1.311 0.051 -0.149
1.374 0.040 -0.176
1.417 0.033 -0.192
1.482 0.019 -0.215
1.525 0.010 -0.231
1.589 -0.006 -0.251
1.632 -0.017 -0.264
1.696 -0.035 -0.281
1.741 -0.048 -0.291
1.818 -0.071 -0.305
1.874 -0.089 -0.309
1.960 -0.116 -0.314
2.017 -0.135 -0.317
2.102 -0.163 -0.322
2.159 -0.182 -0.325
2.244 -0.211 -0.328
2.301 -0.230 -0.311
2.387 -0.257 -0.280
2.445 -0.273 -0.259
2.532 -0.297 -0.272
2.590 -0.313 -0.281
2.676 -0.338 -0.292
2.733 -0.355 -0.298
2.819 -0.382 -0.287
2.877 -0.399 -0.275
2.961 -0.422 -0.256
3.017 -0.436 -0.240
3.102 -0.456 -0.215
3.158 -0.468 -0.196
3.244 -0.484 -0.168
3.301 -0.494 -0.146
3.387 -0.505 -0.108
3.445 -0.511 -0.083
3.532 -0.518 -0.046
3.590 -0.520 -0.027
3.677 -0.522 -0.005
3.735 -0.522 0.006
3.822 -0.521 0.016
3.880 -0.520 0.022
3.967 -0.518 0.031
4.025 -0.516 0.041
4.113 -0.512 0.058
4.173 -0.508 0.075
4.262 -0.500 0.110
4.322 -0.493 0.135
4.411 -0.480 0.173
4.470 -0.469 0.198
4.558 -0.450 0.236
4.616 -0.436 0.248
4.703 -0.414 0.250
4.762 -0.399 0.247
4.849 -0.378 0.237
4.907 -0.364 0.231
4.995 -0.343 0.220
5.053 -0.330 0.210
5.142 -0.312 0.196
5.200 -0.300 0.187
5.289 -0.284 0.173
5.348 -0.274 0.163
5.437 -0.260 0.149
5.496 -0.251 0.140
5.585 -0.239 0.126
5.645 -0.231 0.116
5.734 -0.221 0.105
5.794 -0.215 0.099
5.884 -0.206 0.093
5.943 -0.201 0.101
6.033 -0.191 0.127
6.092 -0.183 0.149
6.181 -0.169 0.182
6.240 -0.158 0.204
6.328 -0.138 0.234
6.386 -0.124 0.253
6.473 -0.101 0.281
6.531 -0.084 0.298
6.617 -0.057 0.322
6.674 -0.038 0.336
6.758 -0.008 0.339
6.815 0.012 0.338
6.900 0.042 0.325
6.956 0.060 0.311
7.037 0.086 0.284
7.089 0.101 0.262
7.169 0.121 0.220
7.225 0.133 0.184
7.311 0.147 0.123
7.369 0.154 0.082
7.456 0.159 0.020
7.514 0.160 -0.020
7.597 0.156 -0.082
7.653 0.151 -0.123
7.736 0.139 -0.184
7.791 0.128 -0.225
7.873 0.108 -0.286
7.926 0.091 -0.327
8.005 0.063 -0.388
8.057 0.041 -0.429
8.133 0.005 -0.490
8.182 -0.022 -0.531
8.253 -0.066 -0.592
8.299 -0.098 -0.633
8.365 -0.148 -0.694
8.405 -0.182 -0.738
8.455 -0.229 -0.781
8.486 -0.260 -0.814
8.531 -0.309 -0.867
8.559 -0.343 -0.905
8.600 -0.398 -0.961
8.626 -0.436 -0.999
8.663 -0.496 -1.051
8.687 -0.537 -1.092
8.720 -0.605 -1.156
8.739 -0.651 -1.200
8.765 -0.721 -1.266
8.779 -0.768 -1.310
8.796 -0.836 -1.376
8.804 -0.881 -1.420
8.813 -0.950 -1.491
8.816 -0.996 -1.541
8.816 -1.065 -1.616
8.814 -1.110 -1.667
8.805 -1.179 -1.742
8.797 -1.224 -1.792
8.780 -1.291 -1.868
8.766 -1.335 -1.918
8.741 -1.399 -1.993
8.722 -1.441 -2.044
8.689 -1.501 -2.119
8.664 -1.540 -2.169
8.624 -1.596 -2.246
8.595 -1.632 -2.300
8.549 -1.681 -2.384
8.516 -1.710 -2.441
8.465 -1.751 -2.526
8.429 -1.776 -2.582
8.372 -1.810 -2.667
8.332 -1.829 -2.724
8.271 -1.854 -2.805
8.229 -1.868 -2.859
8.166 -1.885 -2.939
8.122 -1.893 -2.992
8.057 -1.901 -3.072
8.013 -1.904 -3.126
7.947 -1.903 3.077
7.903 -1.900 3.024
7.833 -1.890 2.948
7.786 -1.880 2.898
7.716 -1.861 2.823
7.671 -1.845 2.772
7.605 -1.817 2.697
7.561 -1.796 2.648
7.493 -1.757 2.578
7.449 -1.729 2.531
7.386 -1.683 2.460
7.346 -1.649 2.414
7.286 -1.594 2.348
7.249 -1.555 2.304
7.196 -1.493 2.238
7.163 -1.451 2.194
7.117 -1.384 2.128
7.089 -1.338 2.094
7.048 -1.265 2.067
7.021 -1.215 2.059
6.982 -1.141 2.053
6.956 -1.091 2.050
6.918 -1.017 2.045
6.892 -0.967 2.042
6.854 -0.892 2.037
6.829 -0.842 2.034
6.792 -0.767 2.029
6.767 -0.717 2.026
6.730 -0.641 2.022
6.706 -0.591 2.018
